word,zipf
acclimate,2.17
acclimated,2.28
acclimating,1.49
acclimation,2.36
acclimatise,1.57
acclimatised,1.41
acclimatization,2.16
acclimatize,1.64
acclimatized,1.65
acclivity,1.82
accolade,2.79
accolades,3.58
accommodate,4.08
accommodated,3.41
accommodates,3.14
accommodating,3.21
accommodation,5.01
accommodations,4.27
accommodative,2.05
accompanied,4.14
accompanies,3.27
accompaniment,3.43
accompaniments,2.58
accompanist,2.42
accompanists,1.79
accompany,3.77
accompanying,3.98
accomplice,2.73
accomplices,2.56
accomplish,4.02
accomplished,4.13
accomplishes,2.85
accomplishing,3.16
accomplishment,3.51
accomplishments,3.78
accord,3.93
accordance,4.63
accordant,1.46
accorded,3.17
accorder,1.52
according,5.09
accordingly,4.18
accordion,3.32
accordionist,1.85
accordions,2.3
accords,3.1
accost,1.7
accosted,2.3
accosting,1.44
account,5.54
accountabilities,2.38
accountability,4.19
accountable,3.77
accountancy,3.63
accountant,3.86
accountants,3.88
accounted,3.82
accounting,4.84
accountings,1.61
accounts,4.86
accouterments,1.58
accoutrement,1.34
accoutrements,2.35
accredit,2.32
accreditation,4.06
accreditations,2.81
accredited,4.19
accrediting,2.93
accredits,1.98
accrete,1.52
accreted,2.02
accreting,2.02
accretion,3.04
accretionary,1.72
accretions,1.87
accretive,2.01
accrual,3.23
accruals,2.9
accrue,3.2
accrued,3.61
accrues,2.56
accruing,2.82
acculturated,1.61
acculturation,2.43
accumulate,3.46
accumulated,3.83
accumulates,2.84
accumulating,3.09
accumulation,3.84
accumulations,2.85
accumulative,2.24
accumulator,2.87
accumulators,2.38
accuracies,2.38
accuracy,4.7
accurate,4.63
accurately,4.05
accursed,2.51
accusation,3.16
accusations,3.41
accusative,2.39
accusatory,2.03
accuse,3.25
accused,4.17
accuser,2.68
accusers,2.35
accuses,3.11
accusing,3.17
accusingly,1.59
accustom,1.99
accustomed,3.45
ace,4.28
aced,2.23
acellular,2.0
acephalous,1.44
acequia,1.68
acerbic,2.25
acerola,1.9
aces,3.58
acetabular,2.08
acetabulum,1.9
acetal,2.38
acetaldehyde,2.45
acetamide,1.86
acetaminophen,3.33
acetate,3.56
acetates,2.18
acetazolamide,2.09
acetic,3.01
acetone,3.0
acetonitrile,2.46
acetyl,3.15
acetylated,2.15
acetylation,2.45
acetylcholine,2.98
acetylcholinesterase,2.4
acetylene,2.68
achalasia,1.95
ache,3.26
ached,2.42
achenes,1.37
aches,3.28
achievable,3.28
achieve,4.67
achieved,4.46
achievement,4.34
achievements,3.98
achiever,2.71
achievers,2.85
achieves,3.47
achieving,4.17
achillea,2.16
achilleas,1.55
aching,3.09
achingly,2.12
achiote,1.53
achondroplasia,1.86
achoo,1.75
achromat,1.61
achromatic,2.27
achy,2.25
acicular,1.48
acid,4.72
acidemia,1.66
acidic,3.3
acidification,2.57
acidified,2.15
acidify,1.43
acidifying,1.67
acidity,3.11
acidly,1.38
acidosis,2.72
acids,4.17
aciduria,1.46
acinar,2.01
acing,1.79
acini,1.62
acknowledge,4.05
acknowledged,4.01
acknowledgement,3.68
acknowledgements,3.65
acknowledges,3.6
acknowledging,3.37
acknowledgment,3.42
acknowledgments,3.44
acme,3.54
acne,4.02
acnes,1.88
acolyte,2.4
acolytes,2.3
aconite,1.99
aconitum,1.94
acorn,3.49
acorns,2.63
acoustic,4.27
acoustical,3.11
acoustically,2.46
acoustics,3.63
acquaint,2.79
acquaintance,3.36
acquaintances,3.05
acquaintanceship,1.44
acquainted,3.38
acquainting,1.89
acquaints,1.8
acquest,1.37
acquiesce,2.36
acquiesced,2.29
acquiescence,2.57
acquiescent,1.54
acquiesces,1.47
acquiescing,1.72
acquire,4.18
acquired,4.33
acquirement,1.68
acquirements,1.45
acquirer,2.61
acquirers,2.2
acquires,3.57
acquiring,3.75
acquisition,4.51
acquisitions,3.95
acquisitive,2.05
acquisitiveness,1.37
acquit,2.26
acquits,1.66
acquittal,2.72
acquittals,1.77
acquitted,3.0
acquitting,1.55
acre,4.05
acreage,3.56
acreages,2.29
acres,4.38
acrid,2.25
acridine,1.93
acrimonious,2.2
acrimony,2.12
acrobat,4.38
acrobatic,2.62
acrobatics,2.54
acrobats,2.42
acrolein,2.07
acromegaly,2.16
acromion,1.5
acronym,3.56
acronyms,3.68
acrophobia,1.6
acropolis,2.86
acrosomal,1.42
acrosome,1.86
across,5.11
acrostic,2.18
acrostics,1.52
acrylamide,2.61
acrylate,2.51
acrylates,1.97
acrylic,4.03
acrylics,2.87
acrylonitrile,2.4
act,5.38
acta,3.7
acted,3.88
actin,3.36
acting,4.5
actinic,2.56
actinide,2.13
actinides,2.05
actinium,1.73
actinolite,1.69
actinomyces,1.79
actinomycete,1.34
actinomycetes,1.88
actinomycin,1.98
actinomycosis,1.74
actins,2.15
action,5.44
actionable,3.02
actions,4.87
activate,3.93
activated,4.08
activates,3.21
activating,3.39
activation,4.26
activations,2.52
activator,3.29
activators,2.63
active,5.16
actively,4.16
activeness,1.4
actives,2.7
activism,3.84
activist,3.84
activists,3.94
activities,5.35
activity,5.13
actomyosin,1.6
actor,4.44
actors,4.32
actress,4.08
actresses,3.67
acts,4.61
actual,4.86
actualities,1.86
actuality,2.92
actualization,2.45
actualize,2.1
actualized,2.07
actualizing,1.72
actually,5.07
actuarial,3.47
actuarially,2.21
actuaries,2.89
actuary,3.0
actuate,3.04
actuated,2.82
actuates,1.63
actuating,2.24
actuation,2.7
actuations,1.42
actuator,3.27
actuators,3.2
acuity,3.09
acumen,2.96
acuminate,1.94
acupressure,2.81
acupuncture,3.68
acupuncturist,2.42
acupuncturists,2.39
acute,4.28
acutely,2.94
acuteness,1.8
acutes,1.48
acyclic,2.67
acyclovir,3.26
acyl,2.97
acylated,1.56
acylation,1.92
ad,5.13
adage,2.85
adages,1.51
adagio,3.07
adagios,1.5
adamant,2.93
adamantine,1.77
adamantly,2.39
adapt,3.9
adaptabilities,1.43
adaptability,3.01
